ilkid,firstname,lastname,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ARCHINA01 ,Nate,Archibald,47,1642,667,62,15,77,306,34,2,122,118,556,235,236,195,17,2
ARDJI01   ,Jim,Ard,19,215,78,0,0,57,7,0,0,0,34,61,30,32,18,0,0
ARDJI01   ,Jim,Ard,21,124,39,0,0,28,9,0,0,0,34,37,14,14,11,0,0
ARENAGI01 ,Gilbert,Arenas,10,450,236,44,8,52,62,21,6,39,34,194,73,94,72,77,18
ARIZIPA01 ,Paul,Arizin,49,1815,1186,0,0,404,128,0,0,0,177,1001,411,439,364,0,0
ARMSTBJ01 ,B.j.,Armstrong,105,2364,828,127,24,151,252,82,3,79,171,667,314,179,149,113,51
ARMSTBR01 ,Brandon,Armstrong,8,32,6,1,1,2,3,1,0,0,4,12,3,0,0,1,0
ARMSTDA01 ,Darrell,Armstrong,40,1072,338,77,33,110,125,45,5,82,87,269,110,88,79,129,39
ARMSTPA01 ,Paul,Armstrong,6,0,24,0,0,7,11,0,0,0,14,41,11,5,2,0,0
ARNETJA01 ,Jay,Arnette,9,81,29,0,0,10,10,0,0,0,22,32,11,8,7,0,0
ARNZEBO01 ,Bob,Arnzen,7,13,7,0,0,0,0,0,0,0,1,6,3,1,1,0,0
ARROYCA01 ,Carlos,Arroyo,22,177,49,9,3,12,44,4,2,10,21,54,19,16,11,1,0
ARTESRO01 ,Ron,Artest,26,1004,449,122,41,163,77,49,25,62,89,403,155,138,102,110,37
ASKEWVI01 ,Vincent,Askew,50,707,216,60,36,96,59,21,9,42,95,191,76,79,54,29,10
ASKINKE01 ,Keith,Askins,27,333,61,35,22,57,13,9,3,11,56,57,21,9,7,31,12
ATKINCH01 ,Chucky,Atkins,31,740,270,48,10,58,75,26,1,42,66,248,92,62,51,98,35
ATTLEAL01 ,Alvin,Attles,62,1504,395,0,0,245,206,0,0,0,246,382,154,158,87,0,0
AUGMOST01 ,Stacey,Augmon,77,1471,462,126,53,179,101,56,14,73,141,370,162,177,138,3,0
AUSTIIS01 ,Isaac,Austin,20,402,126,60,23,83,14,10,11,30,50,106,46,43,33,6,1
AVENTAN01 ,Anthony,Avent,9,80,28,7,12,19,1,0,1,3,13,20,9,12,10,1,0
AVERIWI01 ,William,Averitt,30,727,387,0,0,55,93,0,0,0,74,403,155,92,77,0,0
AVERYWI01 ,William,Avery,2,12,7,1,0,1,2,0,1,0,0,6,3,0,0,2,1
AWTREDE01 ,Dennis,Awtrey,42,747,177,0,0,188,63,6,4,0,106,132,70,61,37,0,0
BAECHJI01 ,Jim,Baechtold,9,307,121,0,0,32,36,0,0,0,41,104,45,39,31,0,0
BAGLEJO01 ,John,Bagley,19,546,181,35,12,47,142,23,2,61,33,166,72,51,36,8,1
BAILEGU01 ,Gus,Bailey,8,116,45,0,0,19,16,0,0,0,12,36,18,10,9,0,0
